"year","state_abbreviation","state","number_on_parole_per_100000_us_adult_residents"
1995,"CT","Connecticut","50"
1995,"ME","Maine","4"
1995,"MA","Massachusetts","100"
1995,"NH","New Hampshire","92"
1995,"NJ","New Jersey","793"
1995,"NY","New York","409"
1995,"PA","Pennsylvania","799"
1995,"RI","Rhode Island","79"
1995,"VT","Vermont","141"
1995,"IL","Illinois","339"
1995,"IN","Indiana","83"
1995,"IA","Iowa","167"
1995,"KS","Kansas","325"
1995,"MI","Michigan","197"
1995,"MN","Minnesota","63"
1995,"MO","Missouri","330"
1995,"NE","Nebraska","55"
1995,"ND","North Dakota","24"
1995,"OH","Ohio","79"
1995,"SD","South Dakota","132"
1995,"WI","Wisconsin","200"
1995,"AL","Alabama","228"
1995,"AR","Arkansas","265"
1995,"DE","Delaware","150"
1995,"FL","Florida","127"
1995,"GA","Georgia","368"
1995,"KY","Kentucky","147"
1995,"LA","Louisiana","613"
1995,"MD","Maryland","418"
1995,"MS","Mississippi","78"
1995,"NC","North Carolina","343"
1995,"OK","Oklahoma","98"
1995,"SC","South Carolina","216"
1995,"TN","Tennessee","224"
1995,"TX","Texas","774"
1995,"VA","Virginia","204"
1995,"WV","West Virginia","79"
1995,"AK","Alaska","111"
1995,"AZ","Arizona","136"
1995,"CA","California","403"
1995,"CO","Colorado","109"
1995,"HI","Hawaii","192"
1995,"ID","Idaho","106"
1995,"MT","Montana","119"
1995,"NV","Nevada","306"
1995,"NM","New Mexico","94"
1995,"OR","Oregon","641"
1995,"UT","Utah","214"
1995,"WA","Washington","22"
1995,"WY","Wyoming","97"
1996,"CT","Connecticut","44"
1996,"ME","Maine","6"
1996,"MA","Massachusetts","104"
1996,"NH","New Hampshire","123"
1996,"NJ","New Jersey","692"
1996,"NY","New York","419"
1996,"PA","Pennsylvania","819"
1996,"RI","Rhode Island","76"
1996,"VT","Vermont","123"
1996,"IL","Illinois","346"
1996,"IN","Indiana","82"
1996,"IA","Iowa","103"
1996,"KS","Kansas","319"
1996,"MI","Michigan","207"
1996,"MN","Minnesota","70"
1996,"MO","Missouri","308"
1996,"NE","Nebraska","58"
1996,"ND","North Dakota","22"
1996,"OH","Ohio","76"
1996,"SD","South Dakota","137"
1996,"WI","Wisconsin","213"
1996,"AL","Alabama","163"
1996,"AR","Arkansas","278"
1996,"DE","Delaware","188"
1996,"FL","Florida","84"
1996,"GA","Georgia","392"
1996,"KY","Kentucky","159"
1996,"LA","Louisiana","674"
1996,"MD","Maryland","429"
1996,"MS","Mississippi","77"
1996,"NC","North Carolina","225"
1996,"OK","Oklahoma","89"
1996,"SC","South Carolina","194"
1996,"TN","Tennessee","223"
1996,"TX","Texas","823"
1996,"VA","Virginia","197"
1996,"WV","West Virginia","62"
1996,"AK","Alaska","131"
1996,"AZ","Arizona","115"
1996,"CA","California","422"
1996,"CO","Colorado","117"
1996,"HI","Hawaii","198"
1996,"ID","Idaho","82"
1996,"MT","Montana","119"
1996,"NV","Nevada","271"
1996,"NM","New Mexico","118"
1996,"OR","Oregon","660"
1996,"UT","Utah","225"
1996,"WA","Washington","14"
1996,"WY","Wyoming","105"
1997,"CT","Connecticut","40"
1997,"ME","Maine","6"
1997,"MA","Massachusetts","98"
1997,"NH","New Hampshire","124"
1997,"NJ","New Jersey","279"
1997,"NY","New York","439"
1997,"PA","Pennsylvania","833"
1997,"RI","Rhode Island","70"
1997,"VT","Vermont","150"
1997,"IL","Illinois","348"
1997,"IN","Indiana","93"
1997,"IA","Iowa","96"
1997,"KS","Kansas","323"
1997,"MI","Michigan","197"
1997,"MN","Minnesota","71"
1997,"MO","Missouri","313"
1997,"NE","Nebraska","57"
1997,"ND","North Dakota","25"
1997,"OH","Ohio","81"
1997,"SD","South Dakota","159"
1997,"WI","Wisconsin","217"
1997,"AL","Alabama","146"
1997,"AR","Arkansas","315"
1997,"DE","Delaware","107"
1997,"FL","Florida","76"
1997,"GA","Georgia","399"
1997,"KY","Kentucky","144"
1997,"LA","Louisiana","630"
1997,"MD","Maryland","412"
1997,"MS","Mississippi","70"
1997,"NC","North Carolina","147"
1997,"OK","Oklahoma","79"
1997,"SC","South Carolina","179"
1997,"TN","Tennessee","215"
1997,"TX","Texas","789"
1997,"VA","Virginia","210"
1997,"WV","West Virginia","64"
1997,"AK","Alaska","179"
1997,"AZ","Arizona","103"
1997,"CA","California","448"
1997,"CO","Colorado","144"
1997,"HI","Hawaii","203"
1997,"ID","Idaho","95"
1997,"MT","Montana","124"
1997,"NV","Nevada","268"
1997,"NM","New Mexico","132"
1997,"OR","Oregon","691"
1997,"UT","Utah","242"
1997,"WA","Washington","12"
1997,"WY","Wyoming","105"
2009,"AL","Alabama","234"
2009,"AK","Alaska","374"
2009,"AZ","Arizona","168"
2009,"AR","Arkansas","967"
2009,"CA","California","383"
2009,"CO","Colorado","304"
2009,"CT","Connecticut","106"
2009,"DE","Delaware","76"
2009,"FL","Florida","30"
2009,"GA","Georgia","329"
2009,"HI","Hawaii","182"
2009,"ID","Idaho","304"
2009,"IL","Illinois","339"
2009,"IN","Indiana","217"
2009,"IA","Iowa","142"
2009,"KS","Kansas","236"
2009,"KY","Kentucky","378"
2009,"LA","Louisiana","758"
2009,"ME","Maine","3"
2009,"MD","Maryland","315"
2009,"MA","Massachusetts","65"
2009,"MI","Michigan","320"
2009,"MN","Minnesota","135"
2009,"MS","Mississippi","248"
2009,"MO","Missouri","430"
2009,"MT","Montana","133"
2009,"NE","Nebraska","61"
2009,"NV","Nevada","212"
2009,"NH","New Hampshire","175"
2009,"NJ","New Jersey","229"
2009,"NM","New Mexico","209"
2009,"NY","New York","329"
2009,"NC","North Carolina","50"
2009,"ND","North Dakota","71"
2009,"OH","Ohio","165"
2009,"OK","Oklahoma","107"
2009,"OR","Oregon","754"
2009,"PA","Pennsylvania","761"
2009,"RI","Rhode Island","71"
2009,"SC","South Carolina","46"
2009,"SD","South Dakota","446"
2009,"TN","Tennessee","241"
2009,"TX","Texas","581"
2009,"UT","Utah","166"
2009,"VT","Vermont","219"
2009,"VA","Virginia","76"
2009,"WA","Washington","128"
2009,"WV","West Virginia","131"
2009,"WI","Wisconsin","443"
2009,"WY","Wyoming","147"
2010,"AL","Alabama","249"
2010,"AK","Alaska","393"
2010,"AZ","Arizona","161"
2010,"AR","Arkansas","957"
2010,"CA","California","376"
2010,"CO","Colorado","283"
2010,"CT","Connecticut","106"
2010,"DE","Delaware","81"
2010,"FL","Florida","28"
2010,"GA","Georgia","341"
2010,"HI","Hawaii","183"
2010,"ID","Idaho","344"
2010,"IL","Illinois","265"
2010,"IN","Indiana","223"
2010,"IA","Iowa","138"
2010,"KS","Kansas","236"
2010,"KY","Kentucky","438"
2010,"LA","Louisiana","767"
2010,"ME","Maine","3"
2010,"MD","Maryland","299"
2010,"MA","Massachusetts","62"
2010,"MI","Michigan","321"
2010,"MN","Minnesota","143"
2010,"MS","Mississippi","292"
2010,"MO","Missouri","421"
2010,"MT","Montana","129"
2010,"NE","Nebraska","69"
2010,"NV","Nevada","250"
2010,"NH","New Hampshire","189"
2010,"NJ","New Jersey","232"
2010,"NM","New Mexico","206"
2010,"NY","New York","319"
2010,"NC","North Carolina","50"
2010,"ND","North Dakota","83"
2010,"OH","Ohio","136"
2010,"OK","Oklahoma","93"
2010,"OR","Oregon","750"
2010,"PA","Pennsylvania","967"
2010,"RI","Rhode Island","67"
2010,"SC","South Carolina","182"
2010,"SD","South Dakota","455"
2010,"TN","Tennessee","250"
2010,"TX","Texas","570"
2010,"UT","Utah","150"
2010,"VT","Vermont","206"
2010,"VA","Virginia","43"
2010,"WA","Washington","134"
2010,"WV","West Virginia","124"
2010,"WI","Wisconsin","446"
2010,"WY","Wyoming","163"
2011,"AL","Alabama","233"
2011,"AK","Alaska","330"
2011,"AZ","Arizona","158"
2011,"AR","Arkansas","1015"
2011,"CA","California","388"
2011,"CO","Colorado","275"
2011,"CT","Connecticut","92"
2011,"DE","Delaware","78"
2011,"FL","Florida","28"
2011,"GA","Georgia","346"
2011,"HI","Hawaii","167"
2011,"ID","Idaho","388"
2011,"IL","Illinois","260"
2011,"IN","Indiana","206"
2011,"IA","Iowa","189"
2011,"KS","Kansas","234"
2011,"KY","Kentucky","423"
2011,"LA","Louisiana","796"
2011,"ME","Maine","2"
2011,"MD","Maryland","294"
2011,"MA","Massachusetts","44"
2011,"MI","Michigan","297"
2011,"MN","Minnesota","143"
2011,"MS","Mississippi","319"
2011,"MO","Missouri","458"
2011,"MT","Montana","123"
2011,"NE","Nebraska","83"
2011,"NV","Nevada","258"
2011,"NH","New Hampshire","212"
2011,"NJ","New Jersey","223"
2011,"NM","New Mexico","200"
2011,"NY","New York","310"
2011,"NC","North Carolina","51"
2011,"ND","North Dakota","81"
2011,"OH","Ohio","139"
2011,"OK","Oklahoma","86"
2011,"OR","Oregon","749"
2011,"PA","Pennsylvania","944"
2011,"RI","Rhode Island","65"
2011,"SC","South Carolina","177"
2011,"SD","South Dakota","442"
2011,"TN","Tennessee","254"
2011,"TX","Texas","564"
2011,"UT","Utah","151"
2011,"VT","Vermont","213"
2011,"VA","Virginia","36"
2011,"WA","Washington","159"
2011,"WV","West Virginia","139"
2011,"WI","Wisconsin","457"
2011,"WY","Wyoming","147"
2012,"AL","Alabama","232"
2012,"AK","Alaska","344"
2012,"AZ","Arizona","150"
2012,"AR","Arkansas","1041"
2012,"CA","California","308"
2012,"CO","Colorado","288"
2012,"CT","Connecticut","99"
2012,"DE","Delaware","84"
2012,"FL","Florida","29"
2012,"GA","Georgia","332"
2012,"HI","Hawaii","149"
2012,"ID","Idaho","328"
2012,"IL","Illinois","279"
2012,"IN","Indiana","205"
2012,"IA","Iowa","218"
2012,"KS","Kansas","236"
2012,"KY","Kentucky","428"
2012,"LA","Louisiana","828"
2012,"ME","Maine","2"
2012,"MD","Maryland","299"
2012,"MA","Massachusetts","40"
2012,"MI","Michigan","250"
2012,"MN","Minnesota","146"
2012,"MS","Mississippi","303"
2012,"MO","Missouri","446"
2012,"MT","Montana","121"
2012,"NE","Nebraska","99"
2012,"NV","Nevada","255"
2012,"NH","New Hampshire","207"
2012,"NJ","New Jersey","218"
2012,"NM","New Mexico","322"
2012,"NY","New York","301"
2012,"NC","North Carolina","58"
2012,"ND","North Dakota","78"
2012,"OH","Ohio","165"
2012,"OK","Oklahoma","80"
2012,"OR","Oregon","749"
2012,"PA","Pennsylvania","1008"
2012,"RI","Rhode Island","60"
2012,"SC","South Carolina","167"
2012,"SD","South Dakota","436"
2012,"TN","Tennessee","263"
2012,"TX","Texas","583"
2012,"UT","Utah","151"
2012,"VT","Vermont","206"
2012,"VA","Virginia","31"
2012,"WA","Washington","167"
2012,"WV","West Virginia","139"
2012,"WI","Wisconsin","453"
2012,"WY","Wyoming","171"
2013,"AL","Alabama","241"
2013,"AK","Alaska","420"
2013,"AZ","Arizona","151"
2013,"AR","Arkansas","962"
2013,"CA","California","298"
2013,"CO","Colorado","267"
2013,"CT","Connecticut","94"
2013,"DE","Delaware","90"
2013,"FL","Florida","30"
2013,"GA","Georgia","353"
2013,"HI","Hawaii","158"
2013,"ID","Idaho","323"
2013,"IL","Illinois","299"
2013,"IN","Indiana","207"
2013,"IA","Iowa","235"
2013,"KS","Kansas","187"
2013,"KY","Kentucky","440"
2013,"LA","Louisiana","815"
2013,"ME","Maine","2"
2013,"MD","Maryland","122"
2013,"MA","Massachusetts","41"
2013,"MI","Michigan","240"
2013,"MN","Minnesota","144"
2013,"MS","Mississippi","305"
2013,"MO","Missouri","416"
2013,"MT","Montana","128"
2013,"NE","Nebraska","88"
2013,"NV","Nevada","258"
2013,"NH","New Hampshire","214"
2013,"NJ","New Jersey","216"
2013,"NM","New Mexico","127"
2013,"NY","New York","291"
2013,"NC","North Carolina","94"
2013,"ND","North Dakota","99"
2013,"OH","Ohio","188"
2013,"OK","Oklahoma","87"
2013,"OR","Oregon","753"
2013,"PA","Pennsylvania","1029"
2013,"RI","Rhode Island","55"
2013,"SC","South Carolina","150"
2013,"SD","South Dakota","405"
2013,"TN","Tennessee","272"
2013,"TX","Texas","569"
2013,"UT","Utah","162"
2013,"VT","Vermont","217"
2013,"VA","Virginia","28"
2013,"WA","Washington","294"
2013,"WV","West Virginia","173"
2013,"WI","Wisconsin","455"
2013,"WY","Wyoming","174"
2014,"AL","Alabama","216"
2014,"AK","Alaska","402"
2014,"AZ","Arizona","146"
2014,"AR","Arkansas","959"
2014,"CA","California","292"
2014,"CO","Colorado","243"
2014,"CT","Connecticut","91"
2014,"DE","Delaware","92"
2014,"FL","Florida","28"
2014,"GA","Georgia","334"
2014,"HI","Hawaii","138"
2014,"ID","Idaho","348"
2014,"IL","Illinois","299"
2014,"IN","Indiana","188"
2014,"IA","Iowa","241"
2014,"KS","Kansas","185"
2014,"KY","Kentucky","491"
2014,"LA","Louisiana","835"
2014,"ME","Maine","2"
2014,"MD","Maryland","248"
2014,"MA","Massachusetts","36"
2014,"MI","Michigan","239"
2014,"MN","Minnesota","158"
2014,"MS","Mississippi","436"
2014,"MO","Missouri","395"
